@Ids_Hmi,15:44 - 24 mars 2013,Nan !! il vont enlever les blagues des #Carambar  c'est des ouf faut pas laisser faire sa !!,
@AurelieDelaunay,07:19 - 23 mars 2013,Top... @Najett2France: Aie #Carambar ! http://twitpic.com/cdpjae ,
@Najett2France,07:08 - 23 mars 2013,Aie #CARAMBAR ! Poke @merveilleuses merci Géraldine maintenant l'écolière qui sommeille en moi vient de se ... https://vine.co/v/bDnX2tuBxZF ,
@AlexisTORCHE,07:04 - 23 mars 2013,Carambarketing http://bit.ly/XxpmBL  via @EMarketing_fr #carambar #marketing,
@Frizoudessins,07:00 - 23 mars 2013,#Carambar #Sarkozyhttp://soyons-serieux.fr/carambar-fini-de-rire/ …,
@jadouney,06:53 - 23 mars 2013,Il manquait plus que ça! Enlever les blagues et mettre des exercices ludo-éducatif et après c'est quoi arrêter de manger sucré? #carambar,
@CavirotArnaud,06:48 - 23 mars 2013,#Carambar Réponse : je mets la gomme !!,
@CavirotArnaud,06:46 - 23 mars 2013,#Carambar alors???,
@CavirotArnaud,06:44 - 23 mars 2013,#Carambar Que dit un crayon pressé d'effacer une faute ?,
@CavirotArnaud,06:43 - 23 mars 2013,#Carambar trouvé dans ma poche ce jour un carambar avec une blague !Blague de Yannis H.Eschau (67),
@ALLORY33,06:35 - 23 mars 2013,Les blagues Carambar c'est fini ! Coup de pub' ou vrai changement ? #carambar http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php … via @la_Parisienne_,
@exa_equo,06:31 - 23 mars 2013,#Carambar cassis-pomme: jouissif ♡,
@stievenardmarc,06:30 - 23 mars 2013,#Carambar arrête ses blagues.... Quelles blagues ?? oO,
@Ladylemon,06:24 - 23 mars 2013,Whaaaaat c'est la fin des blagues #carambar ? Mais... mais ! Ils ont pas le droit T.T !,
@SteevePineau,06:22 - 23 mars 2013,Le coup du Carambarketing http://bit.ly/ZVjhRt  via @EMarketing_fr #marketing #carambar #blague #buzz,
@Najett2France,06:20 - 23 mars 2013,Aie #Carambar ! http://twitpic.com/cdpjae ,
@youmag,06:11 - 23 mars 2013,#Carambar  vrai changement de stratégie ou coup de pub de génie ? http://www.youmag.com/news/109343/carambar-coup-de-barre-ou-coup-de-genie … #buzz avec @strategies1 @cosmopolitan_fr @pcinpact,
@Zachariass_C,06:11 - 23 mars 2013,http://www.youtube.com/watch?v=eq8lbXHkoFg … La fin des blagues #Carambar #BarneyGold @KevinRazy,
@clochette1804,05:53 - 23 mars 2013,@Benjamin_busson ...ah la ...vs me faites rire .. En progrés.. Blague #carambar ( ça va le # là?? ) ,
@BiboElPequeno,05:50 - 23 mars 2013,Les blagues #Carambar c'est finis #LOL,
@sophiedesc,05:49 - 23 mars 2013,#Carambar arrête ses blagues | Le coup du Carambarketing http://sco.lt/8P96g5 ,
@oli76130,05:48 - 23 mars 2013,NON A LA SUPPRESSION DES BLAGUES #CARAMBAR !!! RT please ! https://www.facebook.com/pages/Contre-la-disparition-des-blagues-Carambar/351737951610268 …,
@GontranJabourg,05:44 - 23 mars 2013,Gare! Car quand le carambar colle le carambar barbe!...#carambar http://www.liberation.fr/vous/2013/03/21/blagues-carambar-plus-dure-sera-la-chute_890305 …,
@OliviaLePottier,05:37 - 23 mars 2013,Au revoir hilarantes #blagues #Carambar http://bit.ly/WO5QoN ,
@DamienDelbrel,05:36 - 23 mars 2013,La fin des blagues carambar #Carambar http://www.pcinpact.com/news/78481-la-fin-blagues-carambar-sorchestre-en-ligne.htm …,
@monblogdemaman,05:35 - 23 mars 2013,Caramba c'est la fin des blagues #carambar ! http://instagram.com/p/XM0ByRSslg/ ,
@MartinGlbrt,05:32 - 23 mars 2013,Le coup du Carambarketing : #Carambar c'est du sérieux ! #Marketing #Image http://www.e-marketing.fr/Breves/Carambar-arrete-ses-blagues-52063.htm#.UU2gGa4Xa9E.twitter …,
@Demoiselleswan,05:29 - 23 mars 2013,French kids must eat #Carambar !!! Because we are the coolest #standard,
@tdelattre70,05:25 - 23 mars 2013,Qu'est-ce qu'une caisse de #carambar devant un auditoire ? La dictée de Pivot !!! :-),
@Wverlut,05:02 - 23 mars 2013,Supprimer les blagues #carambar c'est un super buzz gratos. Felicitation à l'équipe marketing,
@Vidkili,04:56 - 23 mars 2013,Je parie que le 1er avril #carambar  nous annonce que c'était une blague et qu'on échappera au quizz éducatif,
@actusmediasadco,04:41 - 23 mars 2013,La fin des légendaires blagues Carambar ? | Actus médias and co #carambar #blagues #communication #buzz http://actusmediasandco.com/la-fin-des-legendaires-blagues-carambar/ …,
@aurelienbbz,04:38 - 23 mars 2013,Faîtes survivre les blagues #Carambar grâce à #Android ! http://goo.gl/7Ye7F ,
@pbriday,04:35 - 23 mars 2013,#UMP Tolérance 0 + idées 0 = La tête à Toto. RIP #Carambar,
@ste6472,04:25 - 23 mars 2013,blagues #carambar remplacées par des exercices ludo écucatifs voilà comment occuper le temps éducatif de la réforme des #rythmesscolaires,
@Sowaddi,04:23 - 23 mars 2013,RIP. les #blagues #carambar,
@cic,21:55 - 28 nov. 2018,Vous êtes décidé(e) à construire l'avenir ? Le CIC recrute cette année 2 000 collaborateurs. Rendez-vous sur https://goo.gl/EtccwP  #CIC_entreprendresonjobpic.twitter.com/vByV29P2en,
@OrianaDavini,04:22 - 23 mars 2013,#Carambar: le #caramelle francesi dicono addio alle barzellette @BlaguesCarambar http://wp.me/p2X61m-kP  via @wordpressdotcom,
@ulyssepariser,04:15 - 23 mars 2013,Bientôt des blagues #Carambar sur Sarkozy et Cahuzac ? http://bit.ly/10w2qa5 ”,
@Sam_nthaa,04:13 - 23 mars 2013,La fin des blagues dans les Carambars... mais que vais-je devenir ? #Carambar,
@DiirtyFlow,04:02 - 23 mars 2013,#Carambar annonce la fin de ses mythiques blague c'est pas drôle :/,
@frenchbigdog,03:57 - 23 mars 2013,Les blagues #Carambar c'est fini le 15 avril http://huff.to/Zg9Jy9 ,
@1armoirepour2,03:47 - 23 mars 2013,Je crois qu'on a été sage... Ou pas ! Plus de blague Carambar mais des devoirs  #carambar… http://instagram.com/p/XMnXKwFMQ1/ ,
@PayeJohn,03:29 - 23 mars 2013,Bande d'ignards. Le mort de #kohlanta est juste un moyen qu'a trouvé TF1 pour contrer le buzz #carambar.,
@Fizikale_Jr,03:29 - 23 mars 2013,Ils m'a voler tout mais :/ #Carambar gâteux et j'en passe,
@nissanfrance,03:10 - 23 mars 2013,Une petite #blague #carambar pour le week-end. Quel est le jeu préféré chez #Nissan ? Jouer à #QASHQAI...,
@marcgehring,03:01 - 23 mars 2013,Marcq-en-Baroeul : une pétition contre la fin des blagues #Carambar. http://www.nordeclair.fr/info-locale/une-petition-contre-la-fin-des-blagues-carambar-ia0b0n177058 …via @NordEclairWeb,
@Amuset,02:46 - 23 mars 2013,Plus de #calembour sur #carambar. Caramba ! Un milliard par and'un bonbon crée en 1954 à Lille. Désormais ricain faut refondre son image...,
@MkgStories,02:45 - 23 mars 2013,Le coup du Carambarketing http://bit.ly/ZUHV4S  via @EMarketing_fr #Marketing #Carambar,
@coach_serenity,02:39 - 23 mars 2013,OMG ! Carambar arrête les blagues ??! http://www.blogdudimanche.fr/omg-carambar-arrete-les-blagues … #Carambar,
@MOPiOU,02:37 - 23 mars 2013,@Carambar_France Oh non ! N'arrêtez pas les blagues Carambar ! Sick Sad World. http://www.rtl.fr/actualites/info/alimentation/article/carambar-arrete-ses-blagues-7759731252 … #Carambar #End 15 Avril c'est la fin.,
@Kayliisse,02:32 - 23 mars 2013,#Carambar est sur le point d'arrêter leur blagues superbement drôle ils ont enfin comprit que sa ne faisait marrer personne,
@Maeghic,02:31 - 23 mars 2013,Nan mais #ALLO t'es un #carambar et t'as pas de blagues? Nan mais ALLO quoi ?! :merciMarieCaucheteux:,
@LaNissarda,02:30 - 23 mars 2013,#Carambar : Les auteurs étaient payés 70 euros par blague - 7sur7  http://s.7s7.be/1601374?utm_source=twitter …,
@ElizaCazy,02:26 - 23 mars 2013,Ça c'est fini ! «Deux œufs se rencontrent : - T’as l’air brouillé.. - Je suis crevé totalement à plat !» #Carambarhttp://www.liberation.fr/vous/2013/03/21/blagues-carambar-plus-dure-sera-la-chute_890305 …,
@behindtheadv,02:19 - 23 mars 2013,MAIS NON NE FAITES PAS çA ! Fin des blagues #Carambar plus dure sera la chute http://www.liberation.fr/vous/2013/03/21/blagues-carambar-plus-dure-sera-la-chute_890305 … via @liberation_info c'est ridicule,
@Serhat_More,02:06 - 23 mars 2013,Pourquoi voit on le torse d'une pêche mais pas son cul ? Parce qu'une pêche Melba mais ne mais pas le haut #carambar,
@cic,21:55 - 28 nov. 2018,Vous êtes décidé(e) à construire l'avenir ? Le CIC recrute cette année 2 000 collaborateurs. Rendez-vous sur https://goo.gl/EtccwP  #CIC_entreprendresonjobpic.twitter.com/vByV29P2en,
@Sarah13L,02:00 - 23 mars 2013,Une petition contre la fin des bagues #carambar !!  http://www.nordeclair.fr/info-locale/une-petition-contre-la-fin-des-blagues-carambar-ia0b0n177058 …,
@Vicovico974,01:49 - 23 mars 2013,Alors ces messieurs de chez #carambar pensent que ceux qui ne lisait pas leurs blagues seront intéressés par des question d'orthographe ?,
@VianneyMadeline,01:46 - 23 mars 2013,Nos smartphones auront mal aux dents pour la postérité. #carambar http://android.smartphonefrance.info/actu.asp?ID=3004 …,
@alescande,01:40 - 23 mars 2013,Mobilisation générale sur la fan page contre la disparition les blagues carambar le changement c'est pas maintenant !!! #carambar,
@Miss_Casse,01:39 - 23 mars 2013,C est une blague ? #carambar #lavoixdunordpic.twitter.com/ZPtHDwFSyX,
@Christelle0709,01:29 - 23 mars 2013,#carambar ca me manques deja la France. pic.twitter.com/Kl9oPHVi6B,
@LiLiiiiK,01:16 - 23 mars 2013,@CindyLATIQUE le 15 avril! Faut en acheté plein en souvenir! #enfance #carambar,
@EuropeanJetSet,01:11 - 23 mars 2013,Suppression des #blagues #Carambar !!! C'est quoi cette blague ???,
@folahankhaled,01:09 - 23 mars 2013,Nan mais #ALLO t'es un #carambar et t'as pas de blagues? Nan mais ALLO quoi! - http://bigbrowser.blog.lemonde.fr?p=36229bigbrowser.blog.lemonde.fr/?p=36229 ,
@CCastelin,01:02 - 23 mars 2013,Fini les blagues #Carambar ! #nostalgiequandtunoustienshttp://www.lemonde.fr/economie/article/2013/03/22/fini-les-blagues-pour-carambar-desormais-c-est-du-serieux_1852663_3234.html …,
@AugustinMercier,01:01 - 23 mars 2013,Carambar : coup de buzz réussi ! http://ow.ly/jkU7i  #buzz #carambar #business #marketing,
@Miss_Casse,01:00 - 23 mars 2013,Mais * #lt #carambar,
@Miss_Casse,01:00 - 23 mars 2013,What the fuck. En plus à la place c est des quizz et des problèmes de maths. Non mis c est plus blague là?  #carambar pic.twitter.com/UrEqOLkS2M,
@antoineguilbert,00:59 - 23 mars 2013,Celui qui rédigeait les blagues #Carambar était payé 70 euros par blague validée. Intéréssant !,
@JordanDragi,00:55 - 23 mars 2013,Fini les blagues pour #Carambar désormais c'est du sérieux http://www.lemonde.fr/economie/article/2013/03/22/fini-les-blagues-pour-carambar-desormais-c-est-du-serieux_1852663_3234.html … via @lemondefr,
@gab_gan,00:50 - 23 mars 2013,#Carambar qui arrête ses blagues c'est triste mais bon la meilleure bague de #carambar quand on y pense c'est quand même son nom -:),
@oored001,00:39 - 23 mars 2013,#Carambar - MEME常識en茅根，理性的杜aimons blagues他們“Carambar” (Agence Chine Nouvelle),
@oored001,00:37 - 23 mars 2013,#Carambar - Incluso nosotros en España nos encanta Carambar,
@oored001,00:33 - 23 mars 2013,Ne touche pas à mon #Carambar ... méfie-toi j'suis un Malabar !,
@oored001,00:32 - 23 mars 2013,Coup de pub pour le #Carambar - C'est Gagné ! Voilà un jeune chef de produit qui va faire carrière...,
@cic,21:55 - 4 déc. 2018,Vous avez l'ambition d'évoluer pour développer de nouvelles compétences ? Le CIC recrute cette année 2 000 collaborateurs. Rendez-vous sur https://goo.gl/JJva5R  #CIC_entreprendresonjobpic.twitter.com/MR6vCq4HyL,
@massyjo,00:18 - 23 mars 2013,#Carambar sans ses blagues? c'est comme une fille sans cheveux nan mé #allo quoi !,
@Avon_Bordeaux,00:13 - 23 mars 2013,Nan mais là faut aller manifester se pointer devant de siège de #Carambar ! On peut pas vous laisser faire ça alors ! @Carambar_France,
@sebfaye,00:06 - 23 mars 2013,La fin des blagues #carambar le 15 avril en magasin. Des infos éducatives les remplaceront.#ledebutdelafin #toutseperd,
@Bo_Clva,00:01 - 23 mars 2013,La fin des blagues #Carambar s'orchestre en ligne http://www.pcinpact.com/news/78481-la-fin-blagues-carambar-sorchestre-en-ligne.htm … via @pcinpact,
@LeymarieS,23:45 - 22 mars 2013,#Carambar : l'auteur était payé 70 euros la blague. Et il vient de perdre son job ! http://tempsreel.nouvelobs.com/societe/20130322.OBS2709/carambar-l-auteur-etait-paye-70-euros-la-blague.html … via @LeNouvelObs,
@cdaubresse,22:44 - 22 mars 2013,L'auteur des blagues #carambar était payé 70 euros la blague,
@DSirmtCom,21:57 - 22 mars 2013,Dans le Nord une #pétition contre la fin des #blagues #Carambar http://www.ouest-france.fr/ofdernmin_-Dans-le-Nord-une-petition-contre-la-fin-des-blagues-Carambar_6346-2176062-fils-tous_filDMA.Htm …,
@Yasmii_Naa,17:37 - 22 mars 2013,C'est nul si #Carambar arrêtait ses blagues :/,
@Diakilla972,17:34 - 22 mars 2013,Celui qui était chargé de rédiger les blague pour #Carambar était rémunéré 70 € LA blague. #SachezLe,
@pastis_52,17:27 - 22 mars 2013,ひー、酷すぎるw“@LesGuignols: Quel animal de moins d’un mètre vit en prison ? Nicolas Sarkozy. #lesguignols #Carambar http://canalplus.fr/direct ”,
@amandine_pv,17:16 - 22 mars 2013,T'es un carambar t'as pas de blague ?!!!! http://nord-pas-de-calais.france3.fr/2013/03/22/blaques-carambar-histoire-d-un-buzz-parfaitement-orchestre-221497.html … #nanmaisalloquoi #carambar,
@AlexiiaBerrebi,16:54 - 22 mars 2013,Donc #Carambar ne fait plus de blague ? Sérieux ? J'en mangerai plus jamais. #FinDuMythe #Voilà,
@theevilheroG33k,16:48 - 22 mars 2013,un #Carambar sans ses #blagues n'est plus un #Carambar !,
@paulineremond,16:26 - 22 mars 2013,Le mec de #carambar (oui toujours) raconte sa vanne fetiche : quel est le super héros des plombiers? Robinet Batman. #ok,
@MounaChampain,16:23 - 22 mars 2013,Tout fout l'camps... mes enfants ne connaitront pas les blagues #Carambar http://www.franceinfo.fr/societe/carambar-arrete-les-blagues-927191-2013-03-21 …,
@alimbenzadi,16:12 - 22 mars 2013,L'acupuncture est le meilleur moyen de soigner un rhume... Et oui vous n'avez jamais vu de hérisson avec la goutte au nez... #Carambar,
@HelenaCib,16:10 - 22 mars 2013,#Carambar arrête ses blagues ? Sérieux ? http://bigbrowser.blog.lemonde.fr/2013/03/21/pas-drole-carambar-arrete-ses-blagues/?utm_source=dlvr.it&utm_medium=twitter#xtor=RSS-3208 …,
@huanghln,15:59 - 22 mars 2013,Les #blagues #Carambar remplacées par des exercices ludo-éducatifs !!!!! O.O,
@laurentalbaret,15:58 - 22 mars 2013,[#pause] Blague #Carambar ? RT @valadier1: Ça y'est j'ai un chien ! Il s'appelle Youtou.  Parceque toutou Youtou.,
@m3l0o,15:52 - 22 mars 2013,La fin des blagues #Carambar : coup de buzz réussit pour la marque http://shar.es/eF1mX  via @MarketingPGC,
@Vincent_Collin,15:52 - 22 mars 2013,Déjà que c'était pas drôle ceci l'est encore moins : Les blagues #Carambar c'est fini! http://www.dailymotion.com/video/xydda4_les-blagues-carambar-c-est-fini_tv#.UUzgXQSiNUw.twitter … via @Dailymotion,
@tdesaintmartin,15:49 - 22 mars 2013,Sans rire ou #hoax #Carambar ne blaguera plus ? http://fr.news-republic.com/Web/ArticleWeb.aspx?regionid=2&articleid=7710662 … je penche pour un #fake #buzz,
@Suprbo,15:47 - 22 mars 2013,@Le_M_Poireau un prix #Carambar  ?,
@jlouisrondeau,15:47 - 22 mars 2013,ce BUZZ fait éco des millions en plan média ;-) @Carambar_France:  les blagues #Carambar sont remplacées par des exercices ludo-éducatifs.,
@11shots,15:41 - 22 mars 2013,faut garder les blagues #carambar sinon on va bientôt resortir l'artilerie nucléaire   http://techcrunch.com/2013/03/21/a-dongle-joke-that-spiraled-way-out-of-control/ … via @techcrunch,
@antoniarec,15:33 - 22 mars 2013,Les blagues #Carambar c'est fini ! http://www.lepoint.fr/t/1-1644207 ,
@ToursNord,15:29 - 22 mars 2013,Entre la disparition des termes Père et Mère et la disparition des blagues dans les #Carambar année noire pour les enfants #ManifPourTous”,
@franceinfoplus,15:29 - 22 mars 2013,VIDEO. Marcq-en-Baroeul berceau des #Carambar lance une pétition contre la fin des fameuses blagues. http://bit.ly/WTUhfP ,
@willman20,15:25 - 22 mars 2013,Le coup du Carambarketing http://bit.ly/ZTbMKS  via @EMarketing_fr #marketing #carambar,
@enholio,15:14 - 22 mars 2013,@christineboutin il parait que #carambar réfléchit à remplacer ses blagues par vos tweets c´est vrai ?,
@jergame,15:06 - 22 mars 2013,@phwatrelot Et j'ai pu constater que vous n'êtes pas trop affecté par la perte de votre fournisseur d'outil PédagogicoHumoristique #carambar,
@boringeek,14:58 - 22 mars 2013,@Monsieur_Poulpe la rumeur laisse entendre que le participant se serai fait couper au montage #hommage #blagues #carambar,
@Avon_Bordeaux,14:57 - 22 mars 2013,Nan mais sérieux ?! Nan mais là faut aller manifester se pointer devant de Siège de #Carambar !!! On peut pas les laisser faire ça alors !!,
@SebMarcelle,14:45 - 22 mars 2013,@JeanZeid Jallet c'est la blague #Carambar du jour #edf,
@Romainn_,14:45 - 22 mars 2013,Blagues #Carambar : Une mort annoncée ou un poisson d'avril ?http://tempsreel.nouvelobs.com/vu-sur-le-web/20130321.OBS2653/blagues-carambar-chronique-d-une-mort-annoncee.html … via @LeNouvelObs,
@YoThisIsClarice,14:44 - 22 mars 2013,L'arrêt des blagues #Carambar ? Mais où va le monde? http://www.huffingtonpost.fr/2013/03/21/la-fin-des-blagues-carambar-15-avril_n_2924515.html …,
@jessidouapps,14:42 - 22 mars 2013,je pensai pas que ca arriverai un jour mais voila cest la findes blagues #Carambar RT si leurs blagues pouri on bercé ton enfance,
@Papalididou,14:42 - 22 mars 2013,En vrai on achette les carambars tout autant pour les blagues que pour le carambars lui meme.. #Carambar #Blagues,
@MJaneRosella,14:41 - 22 mars 2013,Hihihi <3 thanks again my dearest sister. #RocherLait #Carambar #Sweets #pasalubong #SimpleJoy http://instagram.com/p/XLM9qyJAeD/ ,
@LaPalmeEnCarton,14:40 - 22 mars 2013,Un #Carambar sans blague c est pas un carambar c est un caramel,
@monykrajic,14:39 - 22 mars 2013,#csoj La France est triste le coup de grace est porté par #Cadburry qui en profite pour supprimer les blagues #carambar,
@TCadierno,14:36 - 22 mars 2013,A suivre ! le #Carambar sans blague ?!  Le coup du 'Carambarketing' http://bit.ly/ZT24ID  via @EMarketing_fr #Buzz,
@Jibozusa,14:35 - 22 mars 2013,Soit c'est vrai on est très déçu. Soit on est déçu tout court... @lemondefr: Carambar arrête ses blagues http://lemde.fr/13g66R8  #carambar,
@AGodad,14:28 - 22 mars 2013,Sans blagues les #Carambar ne seront plus les mêmes... http://ow.ly/jkWrG ,
@Suprbo,14:22 - 22 mars 2013,#Carambar : l'auteur était payé 70 euros la blague http://tempsreel.nouvelobs.com/societe/20130322.OBS2709/carambar-l-auteur-etait-paye-70-euros-la-blague.html … via @LeNouvelObs #pointbusiness,
@BriceSylvestre1,14:19 - 22 mars 2013,Non mais sans blagues ! #Carambar,
